window_start,window_end,window_center,sample_count,feature_count,mean_ic,median_ic,std_ic,mean_rank_ic,median_rank_ic,positive_ic_ratio
2019-02-25,2019-11-04,2019-07-01,15971,60,-0.006227927484503908,-0.009106910396478748,0.017273364594552996,-0.007377307853711987,-0.005290564578143383,0.36666666666666664
2019-03-18,2019-11-25,2019-07-22,15985,60,-0.0024881113199767195,-0.0050252172046201605,0.01589129587681911,-0.0025140147801196557,-0.004222633533720993,0.38333333333333336
2019-04-08,2019-12-16,2019-08-12,16096,60,0.0008270271517928738,-0.0006137609421465618,0.016064646592764027,0.002878709503029383,-0.00035514749145225047,0.4666666666666667
2019-04-29,2020-01-06,2019-09-02,16199,60,-6.845289355095554e-07,0.0011234071022177769,0.016676369865852844,-0.000936020307473474,0.001161533537939842,0.5333333333333333
2019-05-20,2020-01-27,2019-09-23,16393,60,0.0035444707971430405,0.0020004386669733587,0.01516392814020385,0.003380994067870495,0.0012408501539195387,0.55
2019-06-10,2020-02-17,2019-10-14,16490,60,0.014199588801122558,0.01641615373126589,0.01599273598675083,0.014616762892887271,0.011206620095998175,0.85
2019-07-01,2020-03-09,2019-11-04,16400,60,0.017505692907126932,0.02016236553612935,0.022790661718863327,0.019298607644778785,0.017515544662958554,0.8166666666666667
2019-07-22,2020-03-30,2019-11-25,16327,60,0.01697196124367517,0.01774974257187674,0.023157050741989094,0.01918452224269168,0.018444512503729277,0.7333333333333333
2019-08-12,2020-04-20,2019-12-16,15961,60,0.01212659142017695,0.014111229213146254,0.022047532111964856,0.01387136034535809,0.016283578277506656,0.7
2019-09-02,2020-05-11,2020-01-06,16086,60,0.014734966291448822,0.012997222311489203,0.021906999890237623,0.01681533419741019,0.012355482713950169,0.7333333333333333
2019-09-23,2020-06-01,2020-01-27,16211,60,0.00807584258263449,0.009083858014287783,0.023696282648411816,0.0067732740006407315,0.009524535161154946,0.6833333333333333
2019-10-14,2020-06-22,2020-02-17,16435,60,0.00868384920290054,0.010750599620036222,0.026942740144282176,0.00718014325918935,0.013342248075609422,0.6833333333333333
2019-11-04,2020-07-13,2020-03-09,16659,60,0.011264950198337748,0.01163846277757241,0.025285517134448102,0.011754723867187207,0.011055835382405718,0.6833333333333333
2019-11-25,2020-08-03,2020-03-30,16687,60,0.009773815079866589,0.011915609031646937,0.025907837932941994,0.01014231616414083,0.01195162291094266,0.6833333333333333
2019-12-16,2020-08-24,2020-04-20,16717,60,0.008162642689272376,0.0051870417069644625,0.027438671328091337,0.010864735332444645,0.01463604038306259,0.6
2020-01-06,2020-09-14,2020-05-11,16844,60,0.006098229166278563,0.0014874892995610871,0.02445603598128318,0.012118641248093505,0.01440614035046817,0.5666666666666667
2020-01-27,2020-10-05,2020-06-01,16775,60,0.007479881007350958,3.8992701808656554e-05,0.025563733487035185,0.015470654373720064,0.015354222694519363,0.5
2020-02-17,2020-10-26,2020-06-22,16805,60,0.0020114944411325853,-0.0019813519002421652,0.02711928933173189,0.007009337960535705,0.016232708433025426,0.48333333333333334
2020-03-09,2020-11-16,2020-07-13,16925,60,0.003136840673577323,0.0008831353169499531,0.03096727430166092,0.009217692589759772,0.01594142756086455,0.5166666666666667
2020-03-30,2020-12-07,2020-08-03,16840,60,0.005553516037769406,0.0016689641416812871,0.02726008146186918,0.012035114727246497,0.015133799807856051,0.5833333333333334
2020-04-20,2020-12-28,2020-08-24,17151,60,0.002458621050227863,-0.0002444054110130184,0.026200384348140014,0.008339886092637201,0.011063347714841156,0.4666666666666667
2020-05-11,2021-01-18,2020-09-14,17265,60,0.0023766012319570754,2.880996712391983e-05,0.026128530642574317,0.008993402238095272,0.009634123138785155,0.5166666666666667
2020-06-01,2021-02-08,2020-10-05,17279,60,0.010720719557494795,0.009215547012594935,0.02691743772490801,0.021923374204388373,0.027161237317741865,0.7333333333333333
2020-06-22,2021-03-01,2020-10-26,17294,60,0.014014622607272733,0.013242550572910875,0.03257115752533347,0.026970016327427026,0.041983132541952,0.8
2020-07-13,2021-03-22,2020-11-16,17209,60,0.011077913091041138,0.011151523006010772,0.02996435100185455,0.020849719245165023,0.026471974247498562,0.7166666666666667
2020-08-03,2021-04-12,2020-12-07,17123,60,0.011853076306267928,0.01310942876925991,0.03045671545982511,0.02169074311334687,0.022900758099471584,0.6666666666666666
2020-08-24,2021-05-03,2020-12-28,16938,60,0.015272909214744331,0.013118334803048286,0.030901775182317154,0.017980653334923342,0.022682797300787108,0.75
