date,ticker,sector,proba,rank
2025-09-16,ONGC,Energy,0.744778304736176,176.0
2025-09-17,INFY,IT,0.7442444633859188,177.0
2025-09-04,TCS_S1,IT,0.7441722662726118,178.0
2025-09-11,HCLTECH_S133,IT,0.7430898756789301,179.0
2025-09-10,ICICIGI,Financials,0.7424818464896835,180.0
2025-09-05,KOTAKBANK,Financials,0.7421314048473509,181.0
2025-09-26,ADANITRANS_S109,Utilities,0.7418886477788009,182.0
2025-09-30,POWERGRID_S77,Utilities,0.7402979021558704,183.0
2025-09-17,BANDHANBNK_S107,Financials,0.7390332883951936,184.0
2025-09-26,PIDILITIND,Materials,0.7373365998765529,185.0
2025-10-02,POWERGRID,Utilities,0.7372614363892513,186.0
2025-09-17,ULTRACEMCO,Materials,0.7372032966636264,187.0
2025-09-23,ICICIGI_S113,Financials,0.736628307383849,188.0
2025-09-05,AXISBANK,Financials,0.7356394580597022,189.0
2025-09-18,BHARTIARTL_S64,Telecom,0.7354518166387612,190.0
2025-09-23,INFY_S116,IT,0.7351677355844918,191.0
2025-10-08,TATASTEEL_S23,Materials,0.7333693009286025,192.0
2025-09-04,INFY_S116,IT,0.7333411548214188,193.0
2025-10-06,TATASTEEL_S23,Materials,0.7329577562890089,194.0
2025-09-10,POWERGRID_S134,Utilities,0.7323783952968927,195.0
2025-09-09,ULTRACEMCO,Materials,0.7311723246080672,196.0
2025-10-01,POWERGRID,Utilities,0.7304810272760096,197.0
2025-09-12,UPL_S96,Materials,0.7299753664080239,198.0
2025-10-17,NMDC,Materials,0.727661772798343,199.0
2025-10-10,NMDC,Materials,0.7263608787042656,200.0
2025-09-16,MARUTI,Consumer Discretionary,0.7260969170838976,201.0
2025-09-17,NTPC_S135,Utilities,0.7244857691814334,202.0
2025-09-19,ICICIBANK_S61,Financials,0.7243787708502549,203.0
2025-10-13,NMDC,Materials,0.7240518872826911,204.0
2025-09-10,ONGC_S79,Energy,0.7239308560657072,205.0
2025-09-15,HINDUNILVR_S119,Consumer Staples,0.7237070118235515,206.0
