date_in,date_out,ticker,entry_px,exit_px,gross_ret,net_ret
2021-03-19,2021-04-06,ICICIPRULI,431.68847824645997,446.791215,0.03498526718824668,0.03498526718824668
2021-03-19,2021-04-06,GODREJCP,675.062225,724.9772725,0.07394140221666223,0.07394140221666223
2021-03-19,2021-04-06,ADANIPORTS,688.8646125,832.3665423394775,0.2083165940527647,0.2083165940527647
2021-03-19,2021-04-06,TITAN,1471.03331548584,1519.687845,0.03307506974992669,0.03307506974992669
2021-03-19,2021-04-06,DIVISLAB,3383.1408920141603,3674.04843628418,0.0859874162961114,0.0859874162961114
2021-03-19,2021-04-06,BAJAJ-AUTO,3663.9567395141603,3601.724945,-0.01698486061339588,-0.01698486061339588
2021-03-19,2021-04-06,JSWSTEEL,442.2284832464599,535.4023276605225,0.2106916400546175,0.2106916400546175
2021-03-22,2021-04-07,ICICIPRULI,439.41782750000004,454.1132175802612,0.033442862716490884,0.033442862716490884
2021-03-22,2021-04-07,TATASTEEL,74.6332719683075,87.15168275802613,0.16773230570722508,0.16773230570722508
2021-03-22,2021-04-07,TITAN,1465.8637920141603,1508.331254678955,0.028970947298208927,0.028970947298208927
2021-03-22,2021-04-07,NTPC,110.26852696830751,105.0482324598694,-0.047341654522495724,-0.047341654522495724
2021-03-22,2021-04-07,ADANIPORTS,724.6504635070802,811.6458025000001,0.12005145014589491,0.12005145014589491
2021-03-22,2021-04-07,GODREJCP,696.9954489929199,736.682505,0.056940193891399815,0.056940193891399815
2021-03-22,2021-04-07,BAJAJ-AUTO,3678.7126975000006,3666.1783893579104,-0.003407253888189854,-0.003407253888189854
2021-03-22,2021-04-07,DIVISLAB,3418.92662048584,3684.85695185791,0.07778181894242597,0.07778181894242597
2021-03-22,2021-04-07,BRITANNIA,3577.98026597168,3794.0394731420897,0.06038580179584474,0.06038580179584474
2021-03-22,2021-04-07,JSWSTEEL,446.9965807464599,560.1576248394775,0.2531586346903254,0.2531586346903254
2021-03-23,2021-04-08,ICICIPRULI,437.61098175354016,453.11702758026127,0.03543340197859579,0.03543340197859579
2021-03-23,2021-04-08,TATASTEEL,74.3973760056305,91.49008595184327,0.22974882803553665,0.22974882803553665
2021-03-23,2021-04-08,TITAN,1501.04725899292,1565.31339564209,0.042814199395885266,0.042814199395885266
2021-03-23,2021-04-08,BAJAJ-AUTO,3692.3646115283204,3635.8943106420897,-0.015293804059847926,-0.015293804059847926
2021-03-23,2021-04-08,NTPC,109.06395803169251,104.59995,-0.040930185482497494,-0.040930185482497494
2021-03-23,2021-04-08,BAJAJFINSV,944.1034008056641,961.8015017431641,0.018745934949918608,0.018745934949918608
2021-03-23,2021-04-08,GODREJCP,692.8798525000001,737.0810053210449,0.06379338735505358,0.06379338735505358
2021-03-23,2021-04-08,SBILIFE,902.3248335070801,905.038615,0.0030075438380348096,0.0030075438380348096
2021-03-23,2021-04-08,NESTLEIND,837.2453020764161,881.1250691857911,0.05240969044621768,0.05240969044621768
2021-03-23,2021-04-08,JSWSTEEL,443.48324574645994,611.7602546789551,0.37944389229238085,0.37944389229238085
2021-03-24,2021-04-09,TITAN,1493.8198760070802,1585.9344800000001,0.061663795931768295,0.061663795931768295
2021-03-24,2021-04-09,BAJAJ-AUTO,3617.2795745141607,3637.38859564209,0.005559155910869862,0.005559155910869862
2021-03-24,2021-04-09,NTPC,106.40386000000001,102.40833504013061,-0.037550564047858837,-0.037550564047858837
2021-03-24,2021-04-09,TATASTEEL,70.54776557464601,89.60728745986938,0.27016478452541004,0.27016478452541004
2021-03-24,2021-04-09,ICICIPRULI,431.4375257464599,453.764545,0.051750295051202544,0.051750295051202544
2021-03-24,2021-04-09,BRITANNIA,3551.2288275000005,3783.23071435791,0.06533003028735673,0.06533003028735673
2021-03-24,2021-04-09,SBILIFE,884.0554792535402,906.6324946789553,0.025538007461339607,0.025538007461339607
2021-03-24,2021-04-09,JSWSTEEL,439.01630962677007,618.63399,0.40913669135876085,0.40913669135876085
2021-03-24,2021-04-09,ADANIPORTS,709.54307399292,820.4620596789551,0.15632452736356628,0.15632452736356628
2021-03-24,2021-04-09,BAJAJFINSV,923.7109982049561,959.2363611352539,0.03845939151892108,0.03845939151892108
2021-03-25,2021-04-12,NTPC,103.39243,98.6726225401306,-0.045649448996115116,-0.045649448996115116
2021-03-25,2021-04-12,TITAN,1456.37771399292,1504.6951368579103,0.033176436580122814,0.033176436580122814
2021-03-25,2021-04-12,TATASTEEL,72.59052260070801,84.83055823394776,0.1686175439260491,0.1686175439260491
2021-03-25,2021-04-12,ICICIPRULI,431.68847824645997,442.00951516052254,0.023908529956572222,0.023908529956572222
2021-03-25,2021-04-12,ONGC,102.38862,97.6764325401306,-0.04602257028046086,-0.04602257028046086
2021-03-25,2021-04-12,BAJAJ-AUTO,3514.9411940283208,3527.50879,0.003575478301893309,0.003575478301893309
2021-03-25,2021-04-12,KOTAKBANK,1769.6166735070803,1735.861075,-0.0190750906749666,-0.0190750906749666
2021-03-25,2021-04-12,ICICIGI,1393.5392325,1345.90254814209,-0.03418395639457539,-0.03418395639457539
2021-03-25,2021-04-12,JSWSTEEL,439.66878,601.848212821045,0.36886729328619805,0.36886729328619805
2021-03-25,2021-04-12,BAJAJFINSV,909.205931451416,912.8238422821045,0.003979198447279231,0.003979198447279231
2021-03-26,2021-04-13,NTPC,104.59699893661501,100.2167124799347,-0.041877745071201566,-0.041877745071201566
2021-03-26,2021-04-13,ICICIPRULI,432.29077037323003,457.15158491973875,0.057509473369150355,0.057509473369150355
2021-03-26,2021-04-13,KOTAKBANK,1777.7977495141604,1769.083987178955,-0.00490143625031958,-0.00490143625031958
