date,ticker,in_universe_flag
2021-10-25,ICICIBANK,True
2021-10-25,ICICIGI,True
2021-10-25,ICICIPRULI,True
2021-10-25,INDUSINDBK,True
2021-10-25,INFY,True
2021-10-25,ITC,True
2021-10-25,JSWSTEEL,True
2021-10-25,KOTAKBANK,True
2021-10-25,LT,True
2021-10-25,M&M,True
2021-10-25,MARUTI,True
2021-10-25,MUTHOOTFIN,True
2021-10-25,NESTLEIND,True
2021-10-25,NMDC,True
2021-10-25,NTPC,True
2021-10-25,ONGC,True
2021-10-25,PEL,True
2021-10-25,PIDILITIND,True
2021-10-25,POWERGRID,True
2021-10-25,RELIANCE,True
2021-10-25,SBILIFE,True
2021-10-25,SBIN,True
2021-10-25,SIEMENS,True
2021-10-25,SUNPHARMA,True
2021-10-25,TATASTEEL,True
2021-10-25,TCS,True
2021-10-25,TECHM,True
2021-10-25,TITAN,True
2021-10-25,ULTRACEMCO,True
2021-10-25,UPL,True
2021-10-25,VOLTAS,True
2021-10-25,WIPRO,True
2021-10-26,ADANIGREEN,True
2021-10-26,ADANIPORTS,True
2021-10-26,APOLLOHOSP,True
2021-10-26,ASIANPAINT,True
2021-10-26,AXISBANK,True
2021-10-26,BAJAJ-AUTO,True
2021-10-26,BAJAJFINSV,True
2021-10-26,BAJFINANCE,True
2021-10-26,BANDHANBNK,True
2021-10-26,BHARTIARTL,True
2021-10-26,BRITANNIA,True
2021-10-26,COALINDIA,True
2021-10-26,DIVISLAB,True
2021-10-26,DLF,True
2021-10-26,DRREDDY,True
2021-10-26,EICHERMOT,True
2021-10-26,GODREJCP,True
2021-10-26,GRASIM,True
2021-10-26,HAVELLS,True
2021-10-26,HCLTECH,True
2021-10-26,HDFCBANK,True
2021-10-26,HEROMOTOCO,True
2021-10-26,HINDALCO,True
2021-10-26,HINDUNILVR,True
2021-10-26,ICICIBANK,True
2021-10-26,ICICIGI,True
2021-10-26,ICICIPRULI,True
2021-10-26,INDUSINDBK,True
2021-10-26,INFY,True
2021-10-26,ITC,True
2021-10-26,JSWSTEEL,True
2021-10-26,KOTAKBANK,True
2021-10-26,LT,True
2021-10-26,M&M,True
2021-10-26,MARUTI,True
2021-10-26,MUTHOOTFIN,True
2021-10-26,NESTLEIND,True
2021-10-26,NMDC,True
2021-10-26,NTPC,True
2021-10-26,ONGC,True
2021-10-26,PEL,True
2021-10-26,PIDILITIND,True
2021-10-26,POWERGRID,True
2021-10-26,RELIANCE,True
2021-10-26,SBILIFE,True
2021-10-26,SBIN,True
2021-10-26,SIEMENS,True
2021-10-26,SUNPHARMA,True
2021-10-26,TATASTEEL,True
2021-10-26,TCS,True
2021-10-26,TECHM,True
2021-10-26,TITAN,True
2021-10-26,ULTRACEMCO,True
2021-10-26,UPL,True
2021-10-26,VOLTAS,True
2021-10-26,WIPRO,True
2021-10-27,ADANIGREEN,True
2021-10-27,ADANIPORTS,True
2021-10-27,APOLLOHOSP,True
2021-10-27,ASIANPAINT,True
2021-10-27,AXISBANK,True
2021-10-27,BAJAJ-AUTO,True
2021-10-27,BAJAJFINSV,True
2021-10-27,BAJFINANCE,True
2021-10-27,BANDHANBNK,True
2021-10-27,BHARTIARTL,True
2021-10-27,BRITANNIA,True
2021-10-27,COALINDIA,True
2021-10-27,DIVISLAB,True
2021-10-27,DLF,True
2021-10-27,DRREDDY,True
2021-10-27,EICHERMOT,True
2021-10-27,GODREJCP,True
2021-10-27,GRASIM,True
2021-10-27,HAVELLS,True
2021-10-27,HCLTECH,True
2021-10-27,HDFCBANK,True
2021-10-27,HEROMOTOCO,True
2021-10-27,HINDALCO,True
2021-10-27,HINDUNILVR,True
2021-10-27,ICICIBANK,True
2021-10-27,ICICIGI,True
2021-10-27,ICICIPRULI,True
2021-10-27,INDUSINDBK,True
2021-10-27,INFY,True
2021-10-27,ITC,True
2021-10-27,JSWSTEEL,True
2021-10-27,KOTAKBANK,True
2021-10-27,LT,True
2021-10-27,M&M,True
2021-10-27,MARUTI,True
2021-10-27,MUTHOOTFIN,True
2021-10-27,NESTLEIND,True
2021-10-27,NMDC,True
2021-10-27,NTPC,True
2021-10-27,ONGC,True
2021-10-27,PEL,True
2021-10-27,PIDILITIND,True
2021-10-27,POWERGRID,True
2021-10-27,RELIANCE,True
2021-10-27,SBILIFE,True
2021-10-27,SBIN,True
2021-10-27,SIEMENS,True
2021-10-27,SUNPHARMA,True
2021-10-27,TATASTEEL,True
2021-10-27,TCS,True
2021-10-27,TECHM,True
2021-10-27,TITAN,True
2021-10-27,ULTRACEMCO,True
2021-10-27,UPL,True
2021-10-27,VOLTAS,True
2021-10-27,WIPRO,True
2021-10-28,ADANIGREEN,True
2021-10-28,ADANIPORTS,True
2021-10-28,APOLLOHOSP,True
2021-10-28,ASIANPAINT,True
2021-10-28,AXISBANK,True
2021-10-28,BAJAJ-AUTO,True
2021-10-28,BAJAJFINSV,True
2021-10-28,BAJFINANCE,True
2021-10-28,BANDHANBNK,True
2021-10-28,BHARTIARTL,True
2021-10-28,BRITANNIA,True
2021-10-28,COALINDIA,True
2021-10-28,DIVISLAB,True
2021-10-28,DLF,True
2021-10-28,DRREDDY,True
2021-10-28,EICHERMOT,True
2021-10-28,GODREJCP,True
2021-10-28,GRASIM,True
2021-10-28,HAVELLS,True
2021-10-28,HCLTECH,True
2021-10-28,HDFCBANK,True
2021-10-28,HEROMOTOCO,True
